airport name,airport code
GREENBRIER VALLEY ARPT,LWB
WILEY POST ARPT,PWA
VIRU VIRU INTL,VVI
ERNESTO CORTISSOZ,BAQ
LIMA ALLEN COUNTY,AOH
MERLE K (MUDHOLE) SMITH ARPT,CDV
SOUTHWEST MICHIGAN REGIONAL,BEH
TACOMA NARROWS ARPT,TIW
MATHIS FIELD (TX),SJT
GREENWOOD MUNICIPAL ARPT,KHF
PIARCO TRINIDAD,POS
FAIRMONT MUNICIPAL ARPT,FRM
LA AURORA,GUA
NAPLES MUNICIPAL,APF
HOUSTON GULF ARPT,SPX
MORAN FIELD ARPT,HOT
MASON COUNTY ARPT (MI),LDM
PUERTO PLATA INTL,POP
ASHTABULA COUNTY,JFN
COLEMAN A YOUNG MUNICIPAL ARPT,DET
MANSFIELD LAHM MUNICIPAL,MFD
LYNDEN PINDLING INTL ARPT,NAS
HERLONG ARPT,KHE
CAPT FEAR REGIONAL JETPORT,KSU
CARRABELLE-THOMPSON,X13
FRANCIS S GABRESKI ARPT,FOK
HAWKINS ARPT,HKS
HEMET-RYAN ARPT,HMT
CUBA MUNICIPAL ARPT,HAV
PAGE FIELD ARPT,FMY
MERRILL C MEIGS ARPT,KCG
LOS CABOS INTL,SJD
DECATUR ARPT,DEC
TERRE HAUTE INTL ARPT-HULMAN FIELD,HUF
TOLUCA/LIC ADOLFO,TLC
CHARLOTTESVILLE-ALBEMARLE ARPT,CHO
ELKHART MUNICIPAL ARPT,EKI
KINSTON REGL JETPORT,ISO
SIGONELLA,NSY
MT PLEASANT MUNICIPAL ARPT,MOP
LIBERAL MUNICIPAL,LBL
NORFOLK REGIONAL ARPT,ORF
ESSEX COUNTY AIRPORT,CDW
DANVILLE REGIONAL ARPT,DAN
COLUMBUS MUNICIPAL ARPT (NE),OLU
GUANAJUATO DEL BAJIO INTL,BJX
SAN LUIS COUNTY REGIONAL ARPT,SBP
PALMDALE REGIONAL ARPT,PMD
STOCKTON METRO,SCK
GUNNISON COUNTY,GUC
LLANO MUNICIPAL ARPT,KAQ
CHARLOTTE-MONROE  EXECUTIVE ARPT,KEQ
OWEN ROBERTS INTL,GCM
W K KELLOGG ARPT,BTL
FORT WORTH ALLIANCE,AFW
ALBERT WHITTED,SPG
STELLAR AIRPARK,P19
DESTIN-FORT WALTON BEACH ARPT,VPS
CALGARY INTL,YYC
DELAWARE COUNTY REGIONAL ARPT,MIE
YAKIMA AIR TERMINAL,YKM
RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT,TTA
DAVID'S ARPT,TLV
BUFFALO AIRFIELD ARPT,BUF
HAWKINS FIELD ARPT,HKS
ASHE COUNTY,KGE
NORTH PLATTE REGIONAL,LBF
GATWICK - LONDON,LGW
CLARK COUNTY REGIONAL ARPT (IN),KJV
TIANJIN (CHINA),TSN
BENITO JUAREZ INTL,MEX
KENT STATE UNIVERSITY,1G3
CORTEZ MUNICIPAL ARPT,CEZ
SANTA MARIA PUBLIC,SMX
SANTA FE MUNICIPAL,SAF
MANITOWOC COUNTY ARPT,MTW
LAKE HAVASU CITY ARPT,HII
BARNES MUNICIPAL ARPT,BAF
FORD ARPT,GRR
